Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Image Src,Image Alt Text,Status
blue-footed-booby,Blue-Footed Booby,<p>Blue-footed booby displaying in the Galápagos.</p><p>Gallery-quality archival fine-art print by Logan Ossentjuk / Ox Hollow Media. Printed to order and shipped to your door. Part of the <em>Ocean</em> collection at oxhollowmedia.com.</p>,Ox Hollow Media,Fine-Art Print,"ocean, nature photography, archival print",TRUE,Title,Default Title,0.00,continue,manual,TRUE,https://oxhollowmedia.com/images/portfolio/ocean/04-blue-footed-booby.jpg,Blue-footed booby displaying in the Galápagos,draft
sea-lion-pup,Sea Lion Pup,<p>Sea lion pup resting on the sand.</p><p>Gallery-quality archival fine-art print by Logan Ossentjuk / Ox Hollow Media. Printed to order and shipped to your door. Part of the <em>Ocean</em> collection at oxhollowmedia.com.</p>,Ox Hollow Media,Fine-Art Print,"ocean, nature photography, archival print",TRUE,Title,Default Title,0.00,continue,manual,TRUE,https://oxhollowmedia.com/images/portfolio/ocean/03-sea-lion-pup.jpg,Sea lion pup resting on the sand,draft
highland-river,Highland River,<p>River winding through a green highland valley.</p><p>Gallery-quality archival fine-art print by Logan Ossentjuk / Ox Hollow Media. Printed to order and shipped to your door. Part of the <em>Mountains</em> collection at oxhollowmedia.com.</p>,Ox Hollow Media,Fine-Art Print,"mountains, nature photography, archival print",TRUE,Title,Default Title,0.00,continue,manual,TRUE,https://oxhollowmedia.com/images/portfolio/mountains/02-highland-river.jpg,River winding through a green highland valley,draft
misty-ridgeline,Misty Ridgeline,<p>Forested ridgeline fading into blue evening mist.</p><p>Gallery-quality archival fine-art print by Logan Ossentjuk / Ox Hollow Media. Printed to order and shipped to your door. Part of the <em>Mountains</em> collection at oxhollowmedia.com.</p>,Ox Hollow Media,Fine-Art Print,"mountains, nature photography, archival print",TRUE,Title,Default Title,0.00,continue,manual,TRUE,https://oxhollowmedia.com/images/portfolio/mountains/03-misty-ridgeline.jpg,Forested ridgeline fading into blue evening mist,draft
shorebreak-boulders,Shorebreak Boulders,<p>Waves breaking over mossy shoreline boulders.</p><p>Gallery-quality archival fine-art print by Logan Ossentjuk / Ox Hollow Media. Printed to order and shipped to your door. Part of the <em>Ocean</em> collection at oxhollowmedia.com.</p>,Ox Hollow Media,Fine-Art Print,"ocean, nature photography, archival print",TRUE,Title,Default Title,0.00,continue,manual,TRUE,https://oxhollowmedia.com/images/portfolio/ocean/05-shorebreak-boulders.jpg,Waves breaking over mossy shoreline boulders,draft
turquoise-harbor,Turquoise Harbor,<p>Boats moored in a turquoise island harbor.</p><p>Gallery-quality archival fine-art print by Logan Ossentjuk / Ox Hollow Media. Printed to order and shipped to your door. Part of the <em>Ocean</em> collection at oxhollowmedia.com.</p>,Ox Hollow Media,Fine-Art Print,"ocean, nature photography, archival print",TRUE,Title,Default Title,0.00,continue,manual,TRUE,https://oxhollowmedia.com/images/portfolio/ocean/10-turquoise-harbor.jpg,Boats moored in a turquoise island harbor,draft
golden-gate-paddler,Paddler at the Gate,<p>Paddleboarder crossing beneath the Golden Gate Bridge.</p><p>Gallery-quality archival fine-art print by Logan Ossentjuk / Ox Hollow Media. Printed to order and shipped to your door. Part of the <em>Ocean</em> collection at oxhollowmedia.com.</p>,Ox Hollow Media,Fine-Art Print,"ocean, nature photography, archival print",TRUE,Title,Default Title,0.00,continue,manual,TRUE,https://oxhollowmedia.com/images/portfolio/ocean/08-golden-gate-paddler.jpg,Paddleboarder crossing beneath the Golden Gate Bridge,draft
dusk-branches,Dusk Branches,<p>Bare branches silhouetted against a deep dusk sky.</p><p>Gallery-quality archival fine-art print by Logan Ossentjuk / Ox Hollow Media. Printed to order and shipped to your door. Part of the <em>Mountains</em> collection at oxhollowmedia.com.</p>,Ox Hollow Media,Fine-Art Print,"mountains, nature photography, archival print",TRUE,Title,Default Title,0.00,continue,manual,TRUE,https://oxhollowmedia.com/images/portfolio/mountains/13-dusk-branches.jpg,Bare branches silhouetted against a deep dusk sky,draft
reef-passage-mirror-set,Reef Passage — The Mirror Set (I & II),"<p>Both Reef Passage frames as a matched pair — the shark passing a reef wall to the right in one frame, to the left in the other. Two archival prints, sized and finished to match, made to hang together.</p>",Ox Hollow Media,Fine-Art Print,"ocean, nature photography, archival print, mirror set",TRUE,Title,Default Title,0.00,continue,manual,TRUE,https://oxhollowmedia.com/images/portfolio/ocean/02-shark-silhouette.jpg,Reef Passage mirror set — two matched shark prints,draft
lava-pools-mirror-set,Lava Pools — The Mirror Set (I & II),"<p>Both Lava Pools frames as a matched pair — aquamarine water in dark lava rock, coral wall left in one frame, right in the other. Two archival prints, sized and finished to match, made to hang together.</p>",Ox Hollow Media,Fine-Art Print,"ocean, nature photography, archival print, mirror set",TRUE,Title,Default Title,0.00,continue,manual,TRUE,https://oxhollowmedia.com/images/portfolio/ocean/13-sea-cave-glow.jpg,Lava Pools mirror set — two matched tidepool prints,draft
